level_0,index,id,time,orig_time,first_time,mat_time,balance_time,LTV_time,interest_rate_time,rate_time,hpi_time,gdp_time,REtype_CO_orig_time,REtype_PU_orig_time,REtype_SF_orig_time,investor_orig_time,FICO_orig_time,LTV_orig_time,Interest_Rate_orig_time,default_time,payoff_time,status_time
41,406648,32761,60,18,19,137,82981.17,63.8744728,4.25,4.14,189.82,2.836358176,0,0,1,0,741,81.3,0,0,0,0
41,406534,32752,60,18,19,137,184459.1,72.07590646,5.125,4.14,189.82,2.836358176,1,0,0,0,762,90,0,0,0,0
41,406404,32739,60,18,19,137,45297.8,59.49771036,5.125,4.14,189.82,2.836358176,0,0,1,0,644,74.7,0,0,0,0
41,406239,32721,60,18,19,138,83551.95,44.73979274,4,4.14,189.82,2.836358176,0,0,1,0,642,57.1,0,0,0,0
31,406143,32713,50,18,19,138,69900.67,86.58576437,4.5,4.14,158.94,2.366409899,0,0,1,0,687,79,0,1,0,1
18,406106,32711,37,18,19,138,265489.17,85.15535628,6.375,4.14,153.35,-4.146710947,1,0,0,0,703,70,0,1,0,1
35,406036,32701,60,25,25,139,249466.42,55.11743834,5.625,5.15,189.82,2.836358176,0,0,0,1,766,55.6,0,0,0,0
15,405991,32698,40,25,25,141,81539.5,129.8025373,5,5.15,156.21,1.585965512,0,0,1,0,804,95,0,1,0,1
35,405972,32696,60,25,25,141,305120.58,84.19981704,3.375,5.15,189.82,2.836358176,0,0,0,1,742,70,0,0,0,0
35,405835,32674,60,25,25,137,385545.15,82.07494694,3.625,5.15,189.82,2.836358176,0,0,0,1,733,70,0,0,0,0
12,405758,32661,37,25,25,140,146828.19,127.4994189,4,5.15,153.35,-4.146710947,0,0,1,0,654,92.3,4,1,0,1
24,405745,32660,49,25,25,141,151727.43,110.7990194,4.125,5.15,154.94,2.456633821,1,0,0,0,668,75,0,1,0,1
35,405712,32657,60,25,25,140,533213.01,94.8744624,3.625,5.15,189.82,2.836358176,0,0,1,0,762,80,0,0,0,0
22,405610,32644,47,25,25,139,92793.06,109.0758945,5.84,5.15,149.58,1.668182319,0,0,1,0,685,80,0,1,0,1
35,405585,32642,60,25,25,140,134487.96,97.1463157,3.875,5.15,189.82,2.836358176,0,0,1,0,632,81.8,0,0,0,0
35,405537,32638,60,25,25,140,123630.1,70.15434378,6.625,5.15,189.82,2.836358176,0,0,1,0,585,71.4,0,0,0,0
17,405465,32630,42,25,25,140,190084.02,111.3201679,3.375,5.15,161,3.02949864,0,0,1,0,734,80,0,1,0,1
23,405441,32627,48,25,25,140,147216.59,119.6747258,6.5,5.15,146.45,2.715902885,0,0,1,0,688,77.6,6.5,1,0,1
17,405412,32625,42,25,25,140,75064.22,111.6453537,5,5.15,161,3.02949864,1,0,0,1,674,80,0,1,0,1
35,405368,32620,60,25,25,140,371454.39,77.44608519,3.5,5.15,189.82,2.836358176,0,0,1,1,701,62.9,0,0,0,0
23,405277,32611,48,25,25,140,312481.8,120.1087538,7.125,5.15,146.45,2.715902885,0,0,1,0,653,80,7.125,1,0,1
12,405253,32610,37,25,25,140,382848.28,117.6974477,6.875,5.15,153.35,-4.146710947,0,0,1,0,699,80,6.875,1,0,1
35,405240,32609,60,25,25,140,89365.42,62.68548758,3.625,5.15,189.82,2.836358176,0,0,0,0,718,62.3,0,0,0,0
17,405198,32606,42,25,25,139,180464.09,97.55666251,6.25,5.15,161,3.02949864,0,0,1,1,727,70,6.25,1,0,1
16,405140,32599,41,25,25,140,175000,98.35030423,4.375,5.15,161.06,2.682496806,0,0,0,1,713,70,5.375,1,0,1
35,405077,32590,60,25,25,139,238214.87,82.55318216,4,5.15,189.82,2.836358176,0,0,0,1,711,70,0,0,0,0
35,405041,32589,60,25,25,140,168974.62,61.98141845,3.5,5.15,189.82,2.836358176,0,0,1,1,691,70,3.5,0,0,0
28,404982,32582,53,25,25,139,96106.82,95.14215449,7.25,5.15,173.17,0.892996155,0,0,1,0,680,80,6.89,1,0,1
35,404942,32579,60,25,25,139,141801.96,67.61851339,6.25,5.15,189.82,2.836358176,0,0,0,1,759,67.2,6.25,0,0,0
35,404881,32572,60,25,25,139,165545.19,61.64069854,6.25,5.15,189.82,2.836358176,0,0,0,1,655,61,6.25,0,0,0
35,404837,32570,60,25,25,145,280537.32,69.01076474,2,5.15,189.82,2.836358176,0,0,0,0,777,65,0,0,0,0
35,404801,32569,60,25,25,138,267262.65,70.80259084,3.125,5.15,189.82,2.836358176,0,0,1,0,656,60,6,0,0,0
35,404760,32567,60,25,25,139,104459.2,83.01925462,3.625,5.15,189.82,2.836358176,0,0,0,1,751,80,7.5,0,0,0
16,404702,32561,41,25,25,139,175491.29,100.5933185,4.125,5.15,161.06,2.682496806,0,0,0,0,671,71.6,6,1,0,1
